"","","Year Ended ","31 December ","","Six ","Months Ended 30 ","June ",
"","2016G ","2017G ","2018G ","2018G ","2018G ","2019G ","2019G ",
"","SAR ","SAR ","SAR ","U.S.$ ","SAR ","SAR ","U.S.$ ",
"","","","","(in millions) ","","","",
"Joint ventures: ","","","","","","","",
"Revenue from sales ","13,001 ","8,006 ","4,159 ","1,109 ","2,514 ","1,159 ","309 ",
"Other revenue ","191 ","79 ","30 ","8 ","15 ","11 ","3 ",
"Interest income ","68 ","90 ","49 ","13 ","30 ","- ","- ",
"Service expenses ","184 ","79 ","26 ","7 ","15 ","11 ","3 ",
"Associates: ","","","","","","","",
"Revenue from sales ","20,730 ","28,789 ","39,356 ","10,495 ","19,894 ","18,386 ","4,903 ",
"Other revenue ","454 ","356 ","281 ","75 ","128 ","56 ","15 ",
"Interest income ","124 ","98 ","113 ","30 ","53 ","71 ","19 ",
"Purchases ","22,286 ","27,844 ","39,480 ","10,528 ","19,095 ","16,211 ","4,323 ",
"Service expenses ","191 ","244 ","195 ","52 ","94 ","56 ","15 ",
"Government and ","","","","","","","",
"semi-Government agencies: ","","","","","","","",
"Revenue from sales ","19,966 ","45,266 ","50,111 ","13,363 ","20,030 ","23,415 ","6,244 ",
"Other income related to ","","","","","","","",
"sales ","- ","150,176 ","152,641 ","40,704 ","70,916 ","63,836 ","17,023 ",
"Other revenue ","218 ","1,076 ","731 ","195 ","349 ","353 ","94 ",
"Purchases ","3,458 ","3,266 ","3,394 ","905 ","1,661 ","1,519 ","405 ",
"Service expenses ","851 ","611 ","323 ","86 ","150 ","188 ","50 ",
